artist_id,track_id,trend,ma,ma1,std
85,399,1,0.0,0.0,0.0
85,399,2,4720.0,4720.0,0.0
85,399,3,6562.0,5641.0,1302.4906909456206
85,399,4,7621.0,7091.5,748.8260812765539
