artist_id,track_id,trend,ma,ma1,std
12,24,1,0.0,0.0,0.0
12,24,2,7333.0,7333.0,0.0
12,24,3,6275.0,6804.0,748.1189744953673
12,24,4,2540.0,4407.5,2641.043827731755
12,24,5,1259.0,1899.5,905.8037866999674
12,24,6,868.0,1063.5,276.4787514439401
12,24,7,532.0,700.0,237.58787847867995
12,24,8,412.0,472.0,84.8528137423857
12,24,9,310.0,361.0,72.12489168102785
12,24,10,639.0,474.5,232.63813101037414
12,24,11,458.0,548.5,127.9863273947651
12,24,12,335.0,396.5,86.97413408594535
12,24,13,401.0,368.0,46.66904755831214
12,24,14,318.0,359.5,58.68986283848344
12,24,15,334.0,326.0,11.313708498984761
12,24,16,213.0,273.5,85.55992052357225
12,24,17,196.0,204.5,12.020815280171307
12,24,18,241.0,218.5,31.81980515339464
12,24,19,265.0,253.0,16.97056274847714
12,24,20,189.0,227.0,53.74011537017761
12,24,21,148.0,168.5,28.991378028648448
12,24,22,183.0,165.5,24.748737341529164
12,24,23,170.0,176.5,9.192388155425117
12,24,24,155.0,162.5,10.606601717798213
12,24,25,122.0,138.5,23.33452377915607
12,24,26,123.0,122.5,0.7071067811865476
12,24,27,149.0,136.0,18.384776310850235
12,24,28,162.0,155.5,9.192388155425117
12,24,29,132.0,147.0,21.213203435596427
12,24,30,98.0,115.0,24.041630560342615
12,24,31,93.0,95.5,3.5355339059327378
12,24,32,102.0,97.5,6.363961030678928
12,24,33,80.0,91.0,15.556349186104045
12,24,34,75.0,77.5,3.5355339059327378
12,24,35,94.0,84.5,13.435028842544403
12,24,36,123.0,108.5,20.506096654409877
12,24,37,84.0,103.5,27.577164466275352
12,24,38,76.0,80.0,5.656854249492381
12,24,39,51.0,63.5,17.67766952966369
12,24,40,64.0,57.5,9.192388155425117
12,24,41,75.0,69.5,7.7781745930520225
12,24,42,54.0,64.5,14.849242404917497
12,24,43,56.0,55.0,1.4142135623730951
12,24,44,55.0,55.5,0.7071067811865476
12,24,45,108.0,81.5,37.476659402887016
12,24,46,83.0,95.5,17.67766952966369
12,24,47,78.0,80.5,3.5355339059327378
12,24,48,70.0,74.0,5.656854249492381
12,24,49,61.0,65.5,6.363961030678928
12,24,50,50.0,55.5,7.7781745930520225
12,24,51,61.0,55.5,7.7781745930520225
12,24,52,64.0,62.5,2.1213203435596424
12,24,53,65.0,64.5,0.7071067811865476
12,24,54,67.0,66.0,1.4142135623730951
12,24,55,52.0,59.5,10.606601717798213
12,24,56,35.0,43.5,12.020815280171307
12,24,57,31.0,33.0,2.8284271247461903
12,24,58,54.0,42.5,16.263455967290593
12,24,59,39.0,46.5,10.606601717798213
12,24,60,39.0,39.0,0.0
12,24,61,104.0,71.5,45.96194077712559
12,24,62,44.0,74.0,42.42640687119285
12,24,63,28.0,36.0,11.313708498984761
12,24,64,44.0,36.0,11.313708498984761
12,24,65,24.0,34.0,14.142135623730951
12,24,66,17.0,20.5,4.949747468305833
12,24,67,38.0,27.5,14.849242404917497
12,24,68,27.0,32.5,7.7781745930520225
12,24,69,38.0,32.5,7.7781745930520225
12,24,70,58.0,48.0,14.142135623730951
12,24,71,38.0,48.0,14.142135623730951
12,24,72,27.0,32.5,7.7781745930520225
12,24,73,41.0,34.0,9.899494936611665
12,24,74,32.0,36.5,6.363961030678928
12,24,75,35.0,33.5,2.1213203435596424
12,24,76,35.0,35.0,0.0
12,24,77,36.0,35.5,0.7071067811865476
12,24,78,36.0,36.0,0.0
12,24,79,40.0,38.0,2.8284271247461903
12,24,80,37.0,38.5,2.1213203435596424
12,24,81,53.0,45.0,11.313708498984761
12,24,82,13.0,33.0,28.284271247461902
12,24,83,22.0,17.5,6.363961030678928
12,24,84,23.0,22.5,0.7071067811865476
12,24,85,20.0,21.5,2.1213203435596424
12,24,86,20.0,20.0,0.0
12,24,87,23.0,21.5,2.1213203435596424
12,24,88,22.0,22.5,0.7071067811865476
12,24,89,13.0,17.5,6.363961030678928
12,24,90,12.0,12.5,0.7071067811865476
12,24,91,15.0,13.5,2.1213203435596424
12,24,92,15.0,15.0,0.0
12,24,93,9.0,12.0,4.242640687119285
12,24,94,8.0,8.5,0.7071067811865476
12,24,95,8.0,8.0,0.0
